ds,y,yhat1,residual1,trend,season_yearly
2000-01-01,12256.99357,12555.623046875,298.62947687499945,15917.6728515625,-0.7717450857162476
2001-01-01,11561.24837,13207.658203125,1646.4098331250007,18326.490234375,-0.756636917591095
2002-01-01,13165.06574,13973.865234375,808.799494375,21686.1015625,-0.7617133855819702
2003-01-01,14672.85747,15094.5390625,421.68159249999917,26709.443359375,-0.7667517066001892
2004-01-01,16496.12009,16498.65234375,2.5322537499996542,33192.34375,-0.7717450857162476
2005-01-01,19402.50326,18521.6796875,-880.8235725000013,40162.265625,-0.756636917591095
2006-01-01,21743.47709,19851.09765625,-1892.3794337500003,46350.65625,-0.7617133855819702
2007-01-01,24086.41143,20749.22265625,-3337.18877375,50952.6328125,-0.7667517066001892
2008-01-01,21350.42863,21170.1640625,-180.26456749999852,53658.5546875,-0.7717450857162476
2009-01-01,19143.85161,22577.646484375,3433.7948743749985,56828.5859375,-0.756636917591095
2010-01-01,23087.22564,23246.6796875,159.45404749999943,60600.6484375,-0.7617133855819702
2011-01-01,25096.26388,24409.134765625,-687.1291143749986,66643.6875,-0.7667517066001892
2012-01-01,25466.76052,25431.9140625,-34.846457499999815,72329.5703125,-0.7717450857162476
2013-01-01,27182.73431,27665.01953125,482.2852212500002,77733.03125,-0.756636917591095
2014-01-01,29249.57522,28575.853515625,-673.7217043749988,82965.1875,-0.7617133855819702
2015-01-01,28732.23108,29371.826171875,639.5950918749986,87920.1328125,-0.7667517066001892
2016-01-01,29288.87044,29962.8125,673.9420600000012,92179.7265625,-0.7717450857162476
2017-01-01,31616.8434,31911.896484375,295.05308437499843,95183.84375,-0.756636917591095
2018-01-01,33436.92306,32029.763671875,-1407.159388125001,97459.9765625,-0.7617133855819702
2019-01-01,31902.4169,32127.884765625,225.46786562499983,99736.1015625,-0.7667517066001892
2020-01-01,31721.29802,32207.12890625,485.83088625000164,102012.2265625,-0.7717450857162476
2021-01-01,34997.78164,34129.125,-868.6566400000011,104294.6015625,-0.756636917591095
2022-01-01,32254.62472,34200.734375,1946.1096550000002,106570.7265625,-0.7617133855819702
2022-12-31,,32341.21875,,108840.609375,-0.7863886952400208
2023-12-31,,32354.8984375,,111116.734375,-0.7911350727081299
2024-12-31,,34302.9921875,,113399.109375,-0.7766867876052856
2025-12-31,,34302.828125,,115675.234375,-0.781570315361023
2026-12-31,,34287.37890625,,117951.3671875,-0.7863886952400208
2027-12-31,,34257.8125,,120227.4921875,-0.7911350727081299
2028-12-31,,36337.5390625,,122509.859375,-0.7766867876052856
2029-12-31,,36292.890625,,124785.984375,-0.781570315361023
2030-12-31,,36233.5390625,,127062.1171875,-0.7863886952400208
2031-12-31,,36160.734375,,129338.2421875,-0.7911350727081299
2032-12-31,,38372.0859375,,131620.59375,-0.7766867876052856
2033-12-31,,38282.94921875,,133896.71875,-0.781570315361023
2034-12-31,,38179.69921875,,136172.859375,-0.7863886952400208
2035-12-31,,38063.6484375,,138448.984375,-0.7911350727081299
2036-12-31,,40406.640625,,140731.34375,-0.7766867876052856
2037-12-31,,40273.0078125,,143007.46875,-0.781570315361023
2038-12-31,,40125.859375,,145283.609375,-0.7863886952400208
2039-12-31,,39966.56640625,,147559.734375,-0.7911350727081299
2040-12-31,,42441.1875,,149842.109375,-0.7766867876052856
2041-12-31,,42263.0625,,152118.21875,-0.781570315361023
2042-12-31,,42072.0078125,,154394.359375,-0.7863886952400208
2043-12-31,,41869.4765625,,156670.5,-0.7911350727081299
2044-12-31,,44475.7421875,,158952.84375,-0.7766867876052856
2045-12-31,,44253.12109375,,161228.984375,-0.781570315361023
